"LIST_TYPE","LIST_CODE","JGP_CODE","ALGORITHM_CODE","HOSPITAL_LIMIT","AGE_LIMIT","COND1_ICD9_LIST_CODE","COND1_ICD9_COUNT","COND2_ICD9_LIST_CODE","COND2_ICD9_COUNT","COND_MAIN_ICD10_LIST_CODE","COND1_ICD10_LIST_CODE","COND2_ICD10_LIST_CODE","LIMIT_SEX","LIMIT_ACCEPT","LIMIT_EXTRACT","NEGATIVE_ICD9_LIST_CODE","NEGATIVE_ICD10_LIST_CODE"
"ICD9","K03","K03","a",,,,,,,,,,,,,,
"ICD9","K04","K04","a",,,,,,,,,,,,,"L01",
"ICD9","K05","K05","f",7,,"K3",1,,,,,,,,,,
"ICD10","K07u","K06","u",,2,,,,,,"K4",,,,,,
"ICD10","K07","K06","y",,2,,,,,,,,,,,,
"ICD10","K07u","K07","u",,1,,,,,,"K4",,,,,,
"ICD10","K07","K07","y",,1,,,,,,,,,,,,
"ICD10","K16","K16","a",,,,,,,,,,,,,,
"ICD10","K26","K26","a",,,,,,,,,,,,,,
"ICD10","K27","K27","a",,,,,,,,,,,,,,
"ICD10","K28","K28","a",,,,,,,,,,,,,,
"ICD10","K36","K36","a",,,,,,,,,,,,,,
"ICD10","K37","K37","a",,,,,,,,,,,,,,
"ICD10","K38","K38","a",,,,,,,,,,,,,,
"ICD10","K39","K39","u",,,,,,,,"K5",,,,,,
"ICD9","K46","K46","e",,,,,,,"K46",,,,,,,
"ICD10","K47","K47","a",,,,,,,,,,,,,,
"ICD10","LOg","K47","r",,,,,,,,"K47r",,,,,,
"ICD10","K48","K48","u",,,,,,,,"K7",,,,,,
"ICD9","K53","K53","e",,,,,,,"K53",,,,,,,
"ICD10","K54","K54","u",,,,,,,,"K54",,,,,,
"ICD9","K53","K55","n",,,,,,,"K55","K8",,,,,,
"ICD9","K53","K56","e",,,,,,,"K56",,,,,,,
"ICD9","K57","K57","e",,,,,,,"K57",,,,,,,
"ICD10","K58","K58","a",,,,,,,,,,,,,,
"ICD10","K59","K59","a",,,,,,,,,,,,,,
"ICD10","LOg","K59","r",,,,,,,,"K59r",,,,,,
"ICD10","K63","K63","g",,,"K3",1,"K6",1,,,,,,,,
"ICD9","K64","K64","g",,,"K3",1,,,"K64",,,,,,,
"ICD9","L01","L01","e",,,,,,,"L01",,,,,,"L2",
"ICD9","L02","L02","e",,,,,,,"L02",,,,,,"L2",
"ICD9","L02","L02","v",,,,,,,,"L6",,,,,,
"ICD9","L03","L03","a",,,,,,,,,,,,,"L2",
"ICD9","L05","L05","g",,,"L2",1,,,"L1",,,,,,,
"ICD9","L06","L06","g",,,"L2",1,,,"L1",,,,,,,
"ICD10","L07","L07","a",,,,,,,,,,,,,,
"ICD10","L08","L08","a",,,,,,,,,,,,,,
"ICD9","L12","L12","a",,,,,,,,,,,,,"L2",
"ICD9","L13","L13","a",,,,,,,,,,,,,"L2",
"ICD9","L15","L15","g",,,"L2",1,,,"L1",,,,,,,
"ICD9","L16","L16","g",,,"L2",1,,,"L1",,,,,,,
"ICD9","L21","L21","f",,,"L24",1,,,,,,,,,,
"ICD9","L22","L22","e",,,,,,,"L22",,,,,,"L2",
"ICD9","L23","L23","a",,,,,,,,,,,,,"L2",
"ICD9","L24","L24","a",,,,,,,,,,,,,,
"ICD9","L25","L25","g",,,"L2",1,,,"L1",,,,,,,
"ICD9","L26","L26","g",,,"L2",1,,,"L1",,,,,,,
"ICD10","L27","L27","a",,,,,,,,,,,,,,
"ICD10","L29","L29","a",,,,,,,,,,,,,,
"ICD9","L31","L31","e",,,,,,,"L31",,,,,,,
"ICD9","L32","L32","a",,,,,,,,,,,,,,
"ICD9","L43","L43","e",,,,,,,"L1",,,,,,,
"ICD9","L45","L45","g",,,"L2",1,,,"L1",,,,,,,
"ICD10","L46","L46","a",,,,,,,,,,,,,,
"ICD9","L52","L52","a",,,,,,,,,,,,,,
"ICD9","L53","L53","a",,,,,,,,,,,,,,
"ICD9","L54","L54","b",1,,,,,,,,,,,,,
"ICD9","L62","L62","a",,,,,,,,,,,,,,
"ICD9","L64","L64","b",1,,,,,,,,,,,,,
"ICD10","L69","L69","a",,,,,,,,,,,,,,
"ICD9","L72","L72","a",,,,,,,,,,,,,,
"ICD9","L81","L81","k",,2,,,,,"L81","LOg",,,,,,
"ICD10","L82","L82","a",,,,,,,,,,,,,,
"ICD10","L83","L83","a",,,,,,,,,,,,,,
"ICD10","L84","L84","a",,,,,,,,,,,,,,
"ICD10","LOg","L84","r",,,,,,,,"L84r",,,,,,
"ICD10","L85","L85","a",,,,,,,,,,,,,,
"ICD10","LOg","L85","r",,,,,,,,"L85r",,,,,,
"ICD10","L86","L86","a",,,,,,,,,,,,,,
"ICD9","L81","L87","k",,1,,,,,"L81","LOg",,,,,,
"ICD9","L91","L91","a",,,,,,,,,,,,,,
"ICD9","L92","L92","a",,,,,,,,,,,,,,
"ICD9","L93","L93","g",,2,"L3",1,,,"L4",,,,,,,
"ICD9","L93","L94","e",,2,,,,,"L4",,,,,,"L3",
"ICD9","L93","L95","g",,1,"L3",1,,,"L4",,,,,,,
"ICD9","L93","L96","e",,1,,,,,"L4",,,,,,"L3",
"ICD9","L97","L97","c",,,"L97",1,,,"L4","L5",,,,,,
"ICD9","M01","M01","e",,,,,,,"M01",,,,,,,
"ICD9","M02","M02","e",,,,,,,"M1",,,,,,,
"ICD9","M02","M02","v",,,,,,,,"M2",,,,,,
"ICD9","M03","M03","e",,,,,,,"M1",,,,,,,
"ICD9","M03","M03","v",,,,,,,,"M2",,,,,,
"ICD9","M04","M04","e",7,,,,,,"M1",,,,,,,
"ICD9","M04","M04","v",7,,,,,,,"M2",,,,,,
"ICD9","M05","M05","a",,,,,,,,,,,,,,
"ICD9","M01","M06","n",,,,,,,"M01","Mpw",,,,,,
"ICD9","M11","M11","e",,,,,,,"M11",,,,,,,
"ICD9","M12","M12","e",,,,,,,"M12",,,,,,,
"ICD9","M13","M13","q",,,,,,,"M1",,,,,,,
"ICD9","M13","M13","q",,,,,,,"M12",,,,,,,
"ICD9","M13","M13","v",,,,,,,,"M2",,,,,,
"ICD9","M14","M14","e",,,,,,,"M1",,,,,,,
"ICD9","M14","M14","v",,,,,,,,"M2",,,,,,
"ICD9","M15","M15","e",7,,,,,,"M1",,,,,,,
"ICD9","M15","M15","v",7,,,,,,,"M2",,,,,,
"ICD10","M16","M16","a",,,,,,,,,,,,,,
"ICD10","M17","M17","e",,,"M17",1,,,,,,,,,,
"ICD10","M18","M18","a",,,,,,,,,,,,,,
"ICD10","M19","M19","a",,,,,,,,,,,,,,
"ICD9","M11","M20","n",,,,,,,"M11","Mpw",,,,,,
"ICD9","M12","M21","n",,,,,,,"M12","Mpw",,,,,,
"ICD10","M26","M26","a",,,,,,,,,,,,,,
"ICD10","M27","M27","a",,,,,,,,,,,,,,
"ICD10","M29","M28","u",,,,,,,,"Mpw",,,,,,
"ICD10","M29","M29","a",,,,,,,,,,,,,,
"ICD10","M30","M30","a",,,,,,,,,,,,,"M17",
"ICD9","N03","N01","e",,,,,,,"N9",,,,,,,
"ICD9","N03","N01","g",,,"N1",1,,,"N01",,,,,,,
"ICD9","N03","N02","g",,,"N1",1,,,"N02",,,,,,,
"ICD9","N03","N03","m",12,,"N1",1,"N2",1,"N3","N03",,,,,,
"ICD10","N04","N04","y",7,,,,,,,,,,,,"N03",
"ICD10","N05","N05","e",8,,"N4",1,,,,,,,,,"N03",
"ICD10","N06","N06","e",9,,"N4",1,,,,,,,,,"N03",
"ICD10","N07","N07","e",,,"N5",1,,,,,,,,,"N03",
"ICD10","N08","N08","e",,,"N6",1,,,,,,,,,,
"ICD9","N03","N09","m",6,,"N5",1,"N1",1,"N07","N03",,,,,,
"ICD9","N03","N11","m",6,,"N5",1,"N1",1,"N07","NPpw",,,,,,
"ICD10","N20","N20","y",,8,,,,,,,,,,,,
"ICD9","N22","N21","c",10,8,"N22",1,,,"N7A","N7",,,,,,
"ICD9","N23","N21","c",10,8,"N23",1,,,"N8A","N7",,,,,,
"ICD9","N25","N21","c",10,8,"N25",1,,,"N8A","N8",,,,,,
"ICD9","N23","N21","g",10,8,"N23",1,,,"N7A",,,,,,,
"ICD9","N22","N21","l",10,8,"N22",1,,,"N8A","N7","N7",,,,,
"ICD9","N25","N21","q",10,8,,,,,"N8A",,,,,,,
"ICD9","N25","N21","q",10,8,,,,,"N7A",,,,,,,
"ICD10","N21","N21","y",10,8,,,,,,,,,,,,
"ICD9","N21","N21","y",10,8,,,,,,,,,,,,
"ICD9","N22","N22","c",,8,"N22",1,,,"N7","N7",,,,,,
"ICD9","N22","N22","l",,8,"N22",1,,,"N8","N7","N7",,,,,
"ICD9","N23","N23","c",,8,"N23",1,,,"N8","N7",,,,,,
"ICD9","N23","N23","g",,8,"N23",1,,,"N7",,,,,,,
"ICD9","N25","N24","c",,8,"N25",1,,,"N8","N8",,,,,,
"ICD9","N25","N25","q",,8,,,,,"N8",,,,,,,
"ICD9","N25","N25","q",,8,,,,,"N7",,,,,,,
"ICD9","N26","N26","g",,8,"N9a",1,,,"N26",,,,,,,
"ICD9","N31","N31","e",,6,,,,,"N31",,,,,,,
"ICD9","N32","N32","e",,6,,,,,"N31",,,,,,,
"ICD9","N33","N33","e",,6,,,,,"N31",,,,,,,
"ICD9","N34","N34","e",,6,,,,,"N31",,,,,,,
"ICD10","P01","P01","p",,1,,,,,,,,,,,,
"ICD10","P03","P03","p",,1,,,,,,,,,,,,
"ICD10","P04","P04","p",,1,,,,,,,,,,,,
"ICD10","P05","P05","p",,1,,,,,,,,,,,,
"ICD10","LOg","P05","r",,1,,,,,,"P05r",,,,,,
"ICD10","P06","P06","p",,1,,,,,,,,,,,,
"ICD10","P07","P07","p",,1,,,,,,,,,,,,
"ICD10","P08","P08","p",,1,,,,,,,,,,,,
"ICD10","P09","P09","p",,1,,,,,,,,,,,,
"ICD10","P10","P10","p",,1,,,,,,,,,,,,
"ICD10","LOg","P10","r",,1,,,,,,"P10r",,,,,,
"ICD10","P11","P11","p",,1,,,,,,,,,,,,
"ICD10","P12","P12","p",,1,,,,,,,,,,,,
"ICD10","P13","P13","p",,1,,,,,,,,,,,,
"ICD10","P14","P14","p",,1,,,,,,,,,,,,
"ICD10","P15","P15","p",,1,,,,,,,,,,,,
"ICD10","P16","P16","p",,1,,,,,,,,,,,,
"ICD10","P17","P17","p",,1,,,,,,,,,,,,
"ICD10","P18","P18","p",,1,,,,,,,,,,,,
"ICD10","P19","P19","p",,1,,,,,,,,,,,,
"ICD10","P20","P20","p",,1,,,,,,,,,,,,
"ICD10","LOg","P20","r",,1,,,,,,"P20r",,,,,,
"ICD10","P21","P21","p",,1,,,,,,,,,,,,
"ICD10","P22","P22","p",,1,,,,,,,,,,,,
"ICD10","P23","P23","p",,1,,,,,,,,,,,,
"ICD10","P24","P24","p",,1,,,,,,,,,,,,
"ICD10","P25","P25","p",,1,,,,,,,,,,,,
"ICD10","P27","P26","u",5,1,,,,,,"Ppw",,,,,,
"ICD10","P28","P26","u",5,1,,,,,,"Ppw",,,,,,
"ICD10","P27","P27","p",,1,,,,,,,,,,,,
"ICD10","P28","P28","p",,1,,,,,,,,,,,,
"ICD10","P29","P29","d",3,1,"P29",1,"P29",1,,,,,,,,
"ICD9","Q01","Q01","f",,,"Q1",1,,,,,,,,,,
"ICD9","Q02","Q02","w",,,"Q2",1,,,,,,,,,,
"ICD9","Q02","Q02","w",,,,,,,,"Qpw",,,,,,
"ICD9","Q03","Q03","a",,,,,,,,,,,,,,
"ICD9","Q11","Q11","f",,,"Q6",1,,,,,,,,,,
"ICD9","Q12","Q12","a",,,,,,,,,,,,,,
"ICD9","Q13","Q13","a",,,,,,,,,,,,,,
"ICD9","Q14","Q14","a",,,,,,,,,,,,,,
"ICD9","Q15","Q15","a",,,,,,,,,,,,,,
"ICD9","Q16","Q16","a",,,,,,,,,,,,,,
"ICD9","Q17","Q17","a",,,,,,,,,,,,,,
"ICD9","Q18","Q18","a",,,,,,,,,,,,,,
"ICD9","Q19","Q19","a",,,,,,,,,,,,,,
"ICD9","Q20","Q20","a",,,,,,,,,,,,,,
"ICD9","Q24","Q22","f",,,"Q3",1,,,,,,,,,,
"ICD9","Q24","Q23","f",,,"Q4",1,,,,,,,,,,
"ICD9","Q24","Q24","a",,,,,,,,,,,,,"Q3",
"ICD9","Q24","Q24","a",,,,,,,,,,,,,"Q4",
"ICD9","Q31","Q31","j",,,"Q8",1,"Q10",1,"Q33",,,,,,,
"ICD9","Q32","Q32","g",,,"Q8",1,,,"Q33",,,,,,,
"ICD9","Q33B","Q33","e",,,,,,,"Q33",,,,,,,
"ICD9","Q33A","Q33","g",,,"Q9",1,,,"Q33",,,,,,,
"ICD9","Q41","Q41","a",,,,,,,,,,,,,,
"ICD9","Q44","Q42","h",,,"Q1",1,,,,,,,,,,
"ICD9","Q44","Q42","h",,,"Q5",1,,,,,,,,,,
"ICD9","Q44","Q43","i",,,"Q1",1,"Q5",1,,,,,,,,
"ICD9","Q44","Q44","f",,,"Q7",1,,,,,,,,,,
"ICD9","Q45","Q45","a",,,,,,,,,,,,,,
"ICD9","Q46","Q46","a",,,,,,,,,,,,,,
"ICD9","Q47","Q47","f",,,"Q6",1,,,,,,,,,,
"ICD9","Q48","Q48","y",7,,,,,,,,,,,,,
"ICD9","Q51","Q51","e",,,,,,,"Q51",,,,,,,
"ICD9","Q52","Q52","e",,,,,,,"Q51",,,,,,,
"ICD10","Q66","Q66","a",,,,,,,,,,,,,,
"ICD10","LOg","Q66","r",,,,,,,,"Q66r",,,,,,
"ICD9","S01","S01","e",6,2,,,,,"S01",,,,,,,
"ICD10","S04","S02","y",6,,,,,,,,,,,,,
"ICD10","S04","S03","y",13,,,,,,,,,,,,,
"ICD10","S04","S04","y",1,,,,,,,,,,,,,
"ICD10","LOg","S05","r",6,,,,,,,"S07r",,,,,,
"ICD10","S07","S05","y",6,,,,,,,,,,,,,
"ICD10","LOg","S06","r",13,,,,,,,"S07r",,,,,,
"ICD10","S07","S06","y",13,,,,,,,,,,,,,
"ICD10","LOg","S07","r",1,,,,,,,"S07r",,,,,,
"ICD10","S07","S07","y",1,,,,,,,,,,,,,
"ICD9","S01","S08","e",6,1,,,,,"S01",,,,,,,
"ICD9","S21","S21","a",,,,,,,,,,,,,,
"ICD9","S22","S22","a",,,,,,,,,,,,,,
"ICD9","S23","S23","a",,,,,,,,,,,,,,
"ICD10","S33","S33","e",,2,"S33",1,,,,,,,,,,
"ICD9","S40","S40","e",,,,,,,"S1",,,,,,,
"ICD9","S40","S40","n",,,,,,,"S40","S2",,,,,,
"ICD9","S41","S41","e",,,,,,,"S43",,,,,,,
"ICD9","S42","S41","j",,,"S42",1,"S42",1,"S43",,,,,,,
"ICD9","S42","S42","g",,,"S42",1,,,"S43",,,,,,,
"ICD10","S43","S43","a",,,,,,,,,,,,,,
"ICD10","S44","S44","a",,,,,,,,,,,,,,
"ICD10","S51","S51","a",,,,,,,,,,,,,,
"ICD10","S52","S52","a",,,,,,,,,,,,,,
"ICD10","S53","S53","a",,,,,,,,,,,,,,
"ICD9","S54","S54","e",2,,,,,,"S54",,,,,,,
"ICD10","S55","S55","a",,,,,,,,,,,,,,
"ICD10","S57","S57","a",,,,,,,,,,,,,,
"ICD10","S60","S60","a",,,,,,,,,,,,,,
