"LIST_TYPE","LIST_CODE","JGP_CODE","ALGORITHM_CODE","HOSPITAL_LIMIT","AGE_LIMIT","COND1_ICD9_LIST_CODE","COND1_ICD9_COUNT","COND2_ICD9_LIST_CODE","COND2_ICD9_COUNT","COND_MAIN_ICD10_LIST_CODE","COND1_ICD10_LIST_CODE","COND2_ICD10_LIST_CODE","LIMIT_SEX","LIMIT_ACCEPT","LIMIT_EXTRACT","NEGATIVE_ICD9_LIST_CODE","NEGATIVE_ICD10_LIST_CODE"
"ICD10","D16","D16","a",,,,,,,,,,,,,,
"ICD10","D17","D17","a",,,,,,,,,,,,,,
"ICD10","D18","D18","a",,,,,,,,,,,,,,
"ICD10","LOg","D18","r",,,,,,,,"D18r",,,,,,
"ICD10","D19","D19","a",,,,,,,,,,,,,,
"ICD10","D20","D20","a",,,,,,,,,,,,,,
"ICD10","D21","D21","a",,,,,,,,,,,,,,
"ICD10","D26","D26","a",,,,,,,,,,,,,,
"ICD10","LOg","D26","r",,,,,,,,"D26r",,,,,,
"ICD10","D28","D28","a",,,,,,,,,,,,,,
"ICD9","D36","D36","e",,,,,,,"D36",,,,,,,
"ICD10","D37","D37","a",,,,,,,,,,,,,,
"ICD10","LOg","D37","r",,,,,,,,"D37r",,,,,,
"ICD10","D38","D38","a",,,,,,,,,,,,,,
"ICD10","D46","D46","a",,,,,,,,,,,,,,
"ICD10","D48","D47","u",,,,,,,,"Dpw",,,,,,
"ICD10","D48","D48","a",,,,,,,,,,,,,,
"ICD10","D49","D49","a",,,,,,,,,,,,,,
"ICD10","D50","D50","a",,,,,,,,,,,,,,
"ICD10","D51","D51","a",,,,,,,,,,,,,,
"ICD10","D52","D52","a",,,,,,,,,,,,,,
"ICD10","D53","D53","y",,2,,,,,,,,,,,,
"ICD10","D54","D54","a",,,,,,,,,,,,,,
"ICD10","D55","D55","a",,,,,,,,,,,,,,
"ICD10","D56","D56","y",,1,,,,,,,,,,,,
"ICD9","E03","E02","y",,2,,,,,,,,,,,,
"ICD9","E03","E03","y",,1,,,,,,,,,,,,
"ICD9","E06","E04","g",,,"E11",1,,,"E14",,,,,,,
"ICD9","E06","E05","v",,,,,,,,"Epw",,,,,"E11",
"ICD9","E06","E05","y",,3,,,,,,,,,,,"E11",
"ICD9","E06","E06","y",,4,,,,,,,,,,,"E11",
"ICD9","E14","E11","z",3,,"E1",2,"E11",1,"E14",,,,,,,
"ICD9","E14","E12","g",,,"E1",1,,,"E14",,,,,,,
"ICD9","E14A","E13","e",3,,,,,,"E14",,,,,,"E1N",
"ICD9","E14B","E13","e",3,,,,,,"E14",,,,,,,
"ICD9","E14A","E14","e",4,,,,,,"E14",,,,,,"E1N",
"ICD9","E14B","E14","e",4,,,,,,"E14",,,,,,,
"ICD10","E17","E16","u",,,,,,,,"Epw",,,,,,
"ICD10","E17","E16","y",,3,,,,,,,,,,,,
"ICD10","E17","E17","y",,4,,,,,,,,,,,,
"ICD10","E18","E18","a",,,,,,,,,,,,,,
"ICD10","E19","E19","e",,,"E8",1,,,,,,,,,,
"ICD9","E21","E21","y",,2,,,,,,,,,,,,
"ICD9","E22","E22","y",,2,,,,,,,,,,,,
"ICD9","E23","E23","f",,,"E4",1,,,,,,,,,,
"ICD9","E25","E24","h",,,"E2",1,,,,,,,,,,
"ICD9","E25","E24","h",,,"E3",1,,,,,,,,,,
"ICD9","E25","E25","f",,,"E5",1,,,,,,,,,,
"ICD9","E26","E26","a",,,,,,,,,,,,,,
"ICD9","E27","E27","y",7,,,,,,,,,,,,,
"ICD9","E31","E31","a",,,,,,,,,,,,,,
"ICD9","E32","E32","a",,,,,,,,,,,,,,
"ICD9","E33","E33","a",,,,,,,,,,,,,,
"ICD9","E34","E34","a",,,,,,,,,,,,,,
"ICD9","E36","E36","y",,2,,,,,,,,,,,,
"ICD9","E37","E37","a",,,,,,,,,,,,,,
"ICD9","E38","E38","e",,,,,,,"E51",,,,,,,
"ICD9","E39","E39","y",,1,,,,,,,,,,,,
"ICD9","E43","E41","f",,,"E7",1,,,,,,,,,,
"ICD9","E43","E42","f",,,"E6",1,,,,,,,,,,
"ICD9","E43","E43","a",,,,,,,,,,,,,,
"ICD9","E44","E44","y",4,,,,,,,,,,,,,
"ICD10","E51","E51","a",,,,,,,,,,,,,,
"ICD9","E52","E52","e",,,,,,,"E54",,,,,,,
"ICD10","E54","E53","u",,,,,,,,"Epw",,,,,,
"ICD10","E54","E53","y",,3,,,,,,,,,,,,
"ICD10","E54","E54","y",,4,,,,,,,,,,,,
"ICD10","E55","E55","a",,,,,,,,,,,,,,
"ICD10","E57","E56","u",,,,,,,,"Epw",,,,,,
"ICD10","E57","E56","y",,3,,,,,,,,,,,,
"ICD10","E57","E57","y",,5,,,,,,,,,,,,
"ICD10","E59","E59","a",,,,,,,,,,,,,,
"ICD10","E64","E61","u",,,,,,,,"Epw",,,,,,
"ICD10","E64","E61","y",,3,,,,,,,,,,,,
"ICD10","E64","E62","y",,5,,,,,,,,,,,,
"ICD10","E64","E63","u",,7,,,,,,"Epwdz",,,,,,
"ICD10","E64","E63","y",,6,,,,,,,,,,,,
"ICD10","E64","E64","y",,7,,,,,,,,,,,,
"ICD10","E71","E71","a",,,,,,,,,,,,,,
"ICD10","E72","E72","y",,2,,,,,,,,,,,,
"ICD10","E73","E73","y",,2,,,,,,,,,,,,
"ICD10","E76","E74","y",,2,,,,,,,,,,,,
"ICD10","E76","E75","u",,7,,,,,,"Epwdz",,,,,,
"ICD10","E76","E75","y",,6,,,,,,,,,,,,
"ICD10","E76","E76","y",,7,,,,,,,,,,,,
"ICD10","E77","E77","y",,2,,,,,,,,,,,,
"ICD10","LOg","E78","r",,6,,,,,,"E79r",,,,,,
